,date,code,presettle,open,high,low,close,settle,volume,amount,oi,factor,dlv_day,dlv_week,
1174,20200211,IC2002,5320.4,5341,5359.8,5282,5316.4,5329.6,71249,7582100.128,65877,2.309872599,0,0,
1175,20200212,IC2002,5329.6,5303,5437,5300.6,5437,5423.2,72807,7826861.66,65715,2.309872599,0,0,
1176,20200213,IC2002,5423.2,5431.4,5451.8,5371.4,5392,5399.6,75407,8153549.404,66661,2.309872599,0,0,
1177,20200214,IC2002,5399.6,5388.8,5462.6,5363,5405.6,5390.8,73256,7931956.548,63113,2.309872599,0,0,
1178,20200217,IC2002,5390.8,5440,5603.2,5435,5595.6,5581.6,70390,7788819.488,56996,2.309872599,0,1,
1179,20200218,IC2002,5581.6,5590.4,5646.6,5565.2,5628.6,5620.4,70661,7930263.72,50930,2.309872599,0,1,
1180,20200219,IC2002,5620.4,5622,5662.6,5591,5603.8,5608.6,53028,5966236.992,36994,2.309872599,0,1,
1181,20200220,IC2003,5574.4,5590,5698.8,5545,5667.8,5666.6,90551,10168943.49,113491,2.324044105,0,1,
1182,20200221,IC2003,5666.6,5667,5796.8,5664,5775,5752.2,113592,13018287.19,121546,2.324044105,1,1,
1183,20200224,IC2003,5752.2,5759,5849.6,5705.6,5806,5821.4,114820,13278439.46,122035,2.324044105,0,0,
1184,20200225,IC2003,5821.4,5766,5868,5618,5852.6,5837.8,159033,18341097.86,133747,2.324044105,0,0,
1185,20200226,IC2003,5837.8,5801.2,5818.4,5684.8,5715.4,5723.8,157332,18128765.96,126355,2.324044105,0,0,
1186,20200227,IC2003,5723.8,5736,5769.8,5670,5710,5711.2,130695,14960424.23,127108,2.324044105,0,0,
1187,20200228,IC2003,5711.2,5540,5606.2,5368,5383,5418.6,168648,18475106.37,126883,2.324044105,0,0,
1188,20200302,IC2003,5418.6,5463,5658.8,5463,5598.6,5628,138443,15410719.8,119924,2.324044105,0,0,
1189,20200303,IC2003,5628,5710,5788,5599.4,5620.4,5627.8,137258,15663447.79,116829,2.324044105,0,0,
1190,20200304,IC2003,5627.8,5625.2,5677,5542,5658.4,5618.2,120774,13567036.54,115131,2.324044105,0,0,
1191,20200305,IC2003,5618.2,5739,5765.8,5654.8,5728.6,5732.6,127585,14572443.31,113536,2.324044105,0,0,
1192,20200306,IC2003,5732.6,5690.6,5728.8,5660.4,5681,5700.4,109111,12435096.87,111369,2.324044105,0,0,
1193,20200309,IC2003,5700.4,5582,5605,5438.6,5468.4,5479.6,130204,14352073.24,111299,2.324044105,0,0,
1194,20200310,IC2003,5479.6,5508.6,5645,5400,5635.2,5621.4,152951,16949155.92,110917,2.324044105,0,0,
1195,20200311,IC2003,5621.4,5645,5662,5525,5525,5551.6,116536,13051672.1,101311,2.324044105,0,0,
1196,20200312,IC2003,5551.6,5469,5508,5385.2,5477,5446.8,119474,13014869.4,105274,2.324044105,0,0,
1197,20200313,IC2003,5446.8,5200,5494.4,5180,5447,5419.6,151902,16234292.77,104696,2.324044105,0,0,
1198,20200316,IC2003,5419.6,5419,5443,5133.4,5148.8,5184,123728,13133865.79,87807,2.324044105,0,1,
1199,20200317,IC2003,5184,5296,5300.8,5052,5165.4,5161.4,133148,13770946.43,84908,2.324044105,0,1,
1200,20200318,IC2003,5161.4,5200,5324.4,5073.2,5087.4,5117.6,121078,12635597.08,66412,2.324044105,0,1,
1201,20200319,IC2003,5117.6,5119,5188,5001,5147.4,5139.8,85782,8762502.908,30006,2.324044105,0,1,
1202,20200320,IC2004,5087.8,5168,5180,5062.4,5166.8,5145.4,120449,12345911.72,98494,2.347797062,1,1,
1203,20200323,IC2004,5145.4,5007,5079.8,4928.8,4964.2,4969.6,128182,12823818.26,100527,2.347797062,0,0,
1204,20200324,IC2004,4969.6,5060,5088,4924.6,5030,5029.8,138452,13911068.98,106990,2.347797062,0,0,
1205,20200325,IC2004,5029.8,5125,5181.8,5097,5141.6,5157.6,116380,11972342.9,97201,2.347797062,0,0,
1206,20200326,IC2004,5157.6,5111,5155.2,5077.4,5089,5094,104375,10679413.81,96567,2.347797062,0,0,
1207,20200327,IC2004,5094,5149,5178.8,5053.6,5053.6,5087.8,121557,12437608.5,102434,2.347797062,0,0,
1208,20200330,IC2004,5087.8,5001.2,5032.8,4909,4975.2,4975,116131,11535453.36,102611,2.347797062,0,0,
1209,20200331,IC2004,4975,5020,5044,4950,4958.8,4969.4,103206,10321847.43,100782,2.347797062,0,0,
1210,20200401,IC2004,4969.4,4963.2,5067,4937.4,4950.4,4952.4,117080,11707574.6,104486,2.347797062,0,0,
